id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,UECpi27I,Сербин_ГМ
1,Папандина Клавдия Яковлевна,304,9в,5,qM4mcoxL,Папандина_КЯ
2,Белагина Галина Андреевна,396,9а,4,AMUu8GbR,Белагина_ГА
3,Кижняева Анна Леонидовна,178,7и,2,6MqR48wB,Кижняева_АЛ
4,Цывин Олег Яковлевич,446,7т,2,X8FRhR5J,Цывин_ОЯ
5,Жидняева Ксения Эдуардовна,373,7х,4,MXj7JjWx,Жидняева_КЭ
6,Липковский Анатолий Иванович,144,10а,2,i8CsJCHD,Липковский_АИ
7,Меднова Наталья Богдановна,290,7и,5,3s9mUwIN,Меднова_НБ
8,Житихин Вячеслав Романович,141,9а,5,BAaDx5aN,Житихин_ВР
9,Шеврина Полина Максимовна,33,11а,5,Su91FHNZ,Шеврина_ПМ
10,Алпеев Валентин Данилович,323,8а,2,cFVR8Gtf,Алпеев_ВД
11,Золикова Клара Игоревна,364,10х,2,8tufgU3C,Золикова_КИ
12,Дориков Дмитрий Петрович,296,10г,5,D9M3zj92,Дориков_ДП
13,Корабышев Кирилл Михаилович,302,8и,5,g0gPolAh,Корабышев_КМ
14,Ростовиков Константин Николаевич,336,10а,2,CwY8GR36,Ростовиков_КН
15,Нехаев Дмитрий Фёдорович,129,7х,4,1Bqj306c,Нехаев_ДФ
16,Зызлова Мария Николаевна,430,8г,3,tkgQr609,Зызлова_МН
17,Королупов Валерий Тимофеевич,397,10д,5,69an17RQ,Королупов_ВТ
18,Стенцов Евгений Яковлевич,315,8и,4,4Ai6QTjn,Стенцов_ЕЯ
19,Феклисов Константин Виталиевич,270,9т,None,Am72RQHr,Феклисов_КВ
20,Синелев Руслан Тимофеевич,300,8и,2,FigjTz2V,Синелев_РТ
21,Опевалова Вера Евгеньевна,473,9д,5,WMYDf7yn,Опевалова_ВЕ
22,Назерова Вероника Василевна,206,7б,5,n5UUIUWm,Назерова_ВВ
23,Дименская Светлана Дмитриевна,387,9д,5,zTAdF5ec,Дименская_СД
24,Ковторева Раиса Василевна,482,9и,2,yUYI7v8X,Ковторева_РВ
25,Кулишнин Вячеслав Яковлевич,386,11х,5,90JPX7bV,Кулишнин_ВЯ
26,Лексин Кирилл Антонович,139,7в,5,fU6MlONm,Лексин_КА
27,Лаковский Григорий Василиевич,240,7д,5,qJnnrnj9,Лаковский_ГВ
28,Барамыкова Александра Алексеевна,106,10а,3,AA7MUkQ2,Барамыкова_АА
29,Плясулина Оксана Андреевна,346,8х,2,4kzVVF2x,Плясулина_ОА
30,Петрикеев Станислав Яковлевич,14,7и,4,ZbmH7Q2F,Петрикеев_СЯ
31,Моторыгин Илья Георгиевич,238,10и,5,21PsDDOO,Моторыгин_ИГ
32,Рыков Тарас Павлович,174,10и,5,u0JxuNyx,Рыков_ТП
33,Иончикова Елизавета Егоровна,169,8д,5,x0aWo7Vx,Иончикова_ЕЕ
34,Смолькина Алиса Егоровна,441,7г,5,qAe36OdS,Смолькина_АЕ
35,Оболенин Герасим Павлович,472,7и,4,6ksH0fu7,Оболенин_ГП
36,Трощинский Георгий Борисович,67,9д,3,SASM1B7y,Трощинский_ГБ
37,Поддубская Лиза Игоревна,496,10а,4,Qredj1y4,Поддубская_ЛИ
38,Телькова Валерия Олеговна,335,7х,4,RFJ3u73H,Телькова_ВО
39,Чигварина Александра Алексеевна,428,10б,2,KS7oIglp,Чигварина_АА
40,Киреевский Артур Игоревич,119,7в,3,LHDQX9hL,Киреевский_АИ
41,Шумейкин Роман Павлович,420,8в,5,8jjeZe93,Шумейкин_РП
42,Трушинов Максим Алексиевич,82,8и,4,4CdbmbF1,Трушинов_МА
43,Голюков Денис Сергеевич,62,11б,4,klpPP0EN,Голюков_ДС
44,Хлиманкова Надежда Валерьевна,461,10б,3,8osZ5jTr,Хлиманкова_НВ
45,Кулаженков Алексей Олегович,367,10в,2,kliY8ItY,Кулаженков_АО
46,Бутукин Владимир Адамович,221,7х,5,u2VtsRF5,Бутукин_ВА
47,Поддуев Леонид Олегович,149,9х,4,Uap0dB1d,Поддуев_ЛО
48,Ревцев Василий Павлович,360,9х,5,cmCmYJ5G,Ревцев_ВП
49,Старокожев Артём Юрьевич,46,8д,3,pBZGv3S4,Старокожев_АЮ
50,Светошев Максим Михаилович,321,10х,2,1DdCsktJ,Светошев_ММ
51,Старынина Кристина Федоровна,266,9д,3,3sMs3VpU,Старынина_КФ
52,Востров Дмитрий Денисович,282,9г,3,9oSghwGi,Востров_ДД
53,Бураханова Анастасия Леонидовна,16,8г,2,nGeFR6F1,Бураханова_АЛ
54,Понизов Виктор Кириллович,214,11и,5,2oUclaBT,Понизов_ВК
55,Суздалев Валерий Алексеевич,66,11т,5,XwsXL0Sg,Суздалев_ВА
56,Колендин Дмитрий Алексеевич,153,10в,4,j9iHobLv,Колендин_ДА
57,Сулькова Екатерина Андреевна,325,8и,4,5quF6XH1,Сулькова_ЕА
58,Аржевитова Надежда Федоровна,242,10в,2,D7tOzvqn,Аржевитова_НФ
59,Крассов Валерий Олегович,201,8х,5,Jh3rieBe,Крассов_ВО
60,Сонураева Инна Андреевна,450,9т,3,7Fbu9pEk,Сонураева_ИА
61,Пашин Роман Вадимович,204,10д,2,V1zWFDOJ,Пашин_РВ
62,Фичкина Евгения Федоровна,29,11д,3,cWPYIV6O,Фичкина_ЕФ
63,Свилин Олег Виталиевич,123,8в,2,YwJvY5op,Свилин_ОВ
64,Рогоцкий Андрей Адамович,142,9в,2,1TfozvLj,Рогоцкий_АА
65,Ахантьев Игорь Валериевич,80,10д,5,mLD5gh54,Ахантьев_ИВ
66,Сочиникова Ксения Кирилловна,100,10д,2,DKBOa5Et,Сочиникова_КК
67,Остюков Артур Романович,329,11и,3,daQS14wt,Остюков_АР
68,Брюкина Оксана Викторовна,98,8в,5,OmPuxv81,Брюкина_ОВ
69,Кузовенков Игорь Юрьевич,322,9г,None,FsL3g18S,Кузовенков_ИЮ
70,Калухов Тарас Иванович,207,11а,3,kECRFiK4,Калухов_ТИ
71,Батыров Пётр Виталиевич,227,7и,3,gmG5ja4j,Батыров_ПВ
72,Озрина Катерина Валерьевна,147,10а,4,xEZ7lehw,Озрина_КВ
73,Декалова Полина Леонидовна,470,11д,5,HZYda8XG,Декалова_ПЛ
74,Лосицкий Владимир Кириллович,369,9т,5,x3bExIla,Лосицкий_ВК
75,Магнусов Пётр Максимович,437,7и,5,7W2GwDrL,Магнусов_ПМ
76,Лавренков Михаил Василиевич,188,9б,2,4uifti9X,Лавренков_МВ
77,Шушкалова Вероника Алексеевна,411,8т,5,4e2TPsQO,Шушкалова_ВА
78,Бороданова Маргарита Дмитриевна,118,7г,5,Cebrhg6m,Бороданова_МД
79,Циркина Виолетта Федоровна,231,9г,2,6J4zOqev,Циркина_ВФ
80,Болохина Екатерина Андреевна,194,11д,3,0bBmsaDm,Болохина_ЕА
81,Чукалова Дарья Валерьевна,20,10г,4,8PNJfWEi,Чукалова_ДВ
82,Беловолов Степан Петрович,222,9д,2,1ISbLEqR,Беловолов_СП
83,Зудейкина Вероника Ивановна,166,8и,3,nSk11ur9,Зудейкина_ВИ
84,Макунова Мария Борисовна,47,9в,5,Zl4D8TyM,Макунова_МБ
85,Верзанский Геннадий Андреевич,497,7д,5,Kmf9dFQz,Верзанский_ГА
86,Алтубин Ярослав Леонидович,414,10г,5,tsXbzK8q,Алтубин_ЯЛ
87,Аузин Игорь Алексиевич,435,8х,5,aXdlzz2f,Аузин_ИА
88,Калыгин Степан Тимофеевич,353,8и,2,KAwsg0Hk,Калыгин_СТ
89,Дурныгина Полина Игоревна,72,8и,2,OZY9eLQO,Дурныгина_ПИ
90,Антюфеева Александра Вадимовна,347,8и,2,xUzrsYK8,Антюфеева_АВ
91,Лощинский Борис Романович,210,10б,3,1Ug26uIW,Лощинский_БР
92,Ходорков Евгений Виталиевич,344,9г,5,U6NEzpQV,Ходорков_ЕВ
93,Кафорин Федор Данилович,427,10д,3,HObxg2TD,Кафорин_ФД
94,Косынская Алиса Дмитриевна,40,9в,3,aM8c7tRM,Косынская_АД
95,Беремцев Артём Антонович,434,11т,2,PuchsPq2,Беремцев_АА
96,Влянская Мария Андреевна,490,7т,4,3INnuqoF,Влянская_МА
97,Мыгеева Лиза Василевна,280,8в,5,fqP4JcZg,Мыгеева_ЛВ
98,Акутникова Мария Алексеевна,173,11в,2,nj8jsAnK,Акутникова_МА
99,Карябкин Константин Максимович,89,7и,2,TO6L40iK,Карябкин_КМ
100,Прилепина Яна Максимовна,30,10в,5,06NhmFBa,Прилепина_ЯМ
101,Ведищев Никита Георгиевич,365,7и,5,X4wzoinA,Ведищев_НГ
102,Самчева Вероника Борисовна,287,10г,3,40Xd2tJs,Самчева_ВБ
103,Пирцхалова Карина Леонидовна,452,10г,5,7Zkc03i3,Пирцхалова_КЛ
104,Павлочев Денис Борисович,432,11д,5,LtL4rggz,Павлочев_ДБ
105,Арашкова Екатерина Евгеньевна,356,8х,None,lESwkZ0u,Арашкова_ЕЕ
106,Байсарова Людмила Василевна,215,11и,2,3Aas2qsp,Байсарова_ЛВ
107,Кудекина Зинаида Игоревна,250,10и,3,JxLY4Uy3,Кудекина_ЗИ
108,Дерналов Виталий Викторович,1,9г,4,skzuE3UJ,Дерналов_ВВ
109,Сазинова Галина Романовна,61,9и,3,Xf8a3Lw8,Сазинова_ГР
110,Остаченова Марина Эдуардовна,229,9т,5,tEDyPGX1,Остаченова_МЭ
111,Битюкова Яна Егоровна,488,9и,4,a3Xi2CgY,Битюкова_ЯЕ
112,Иваницкий Константин Борисович,232,8д,5,KYcsQw2l,Иваницкий_КБ
113,Белянский Владислав Игоревич,74,11б,5,6gr7PNBA,Белянский_ВИ
114,Баранкин Артём Алексеевич,382,9т,2,AqEn2jLE,Баранкин_АА
115,Шкабанова Софья Вадимовна,499,9х,4,D4V9ZmcJ,Шкабанова_СВ
116,Полозлов Денис Адамович,155,8т,3,Q4kRWcix,Полозлов_ДА
117,Жунина Светлана Михайловна,162,8в,3,83GAsDwS,Жунина_СМ
118,Пантыкин Борис Игоревич,245,9х,2,YfSCLEo9,Пантыкин_БИ
119,Доутова Марина Богдановна,189,11х,2,s2L1DIjS,Доутова_МБ
120,Трещалова Яна Андреевна,330,8б,3,92qDYfHs,Трещалова_ЯА
121,Ивашечкин Александр Данилович,390,10т,4,xYxbq6YP,Ивашечкин_АД
122,Мазьянова Инна Богдановна,416,11в,4,Gj1WtnxD,Мазьянова_ИБ
123,Корогев Николай Евгеньевич,184,8б,5,RclgTFK0,Корогев_НЕ
124,Заидова Галина Максимовна,88,9т,4,59z4FtJG,Заидова_ГМ
125,Рамхин Кирилл Алексиевич,459,9х,4,pw4yZEQW,Рамхин_КА
126,Кизбабаев Эдуард Фёдорович,415,11т,2,zDOLh8oc,Кизбабаев_ЭФ
127,Соурчаков Ярослав Валериевич,268,8б,2,7wGzR0LM,Соурчаков_ЯВ
128,Мотяшева Алена Михайловна,404,7т,2,tW41onxB,Мотяшева_АМ
129,Горшкова Наталия Яковлевна,340,11а,2,7I87QG3f,Горшкова_НЯ
130,Зябрицкий Игорь Виталиевич,332,7а,5,tu6n4Wro,Зябрицкий_ИВ
131,Шельдяев Игорь Юриевич,97,7д,5,bUDXolq7,Шельдяев_ИЮ
132,Шмелькин Максим Викторович,483,9т,5,fqAgXhW8,Шмелькин_МВ
133,Жалкин Алексей Алексеевич,43,7а,3,sQ5FUw6h,Жалкин_АА
134,Худасов Денис Максимович,70,10д,2,uO0EzglG,Худасов_ДМ
135,Швичкова Наталья Эдуардовна,398,7г,4,Wz2xyPuN,Швичкова_НЭ
136,Едская Жанна Валерьевна,436,11в,4,2ggcrwTT,Едская_ЖВ
137,Поморзина Полина Евгеньевна,122,7д,4,Ay9hagOd,Поморзина_ПЕ
138,Будачева Кира Олеговна,55,11х,4,bww6QtU0,Будачева_КО
139,Молкаев Василий Валериевич,216,8д,2,bkmazW92,Молкаев_ВВ
140,Яцынин Константин Тимофеевич,285,7г,2,MyCkbb8z,Яцынин_КТ
141,Маховиков Василий Петрович,391,7х,4,5hnIYxWY,Маховиков_ВП
142,Шаметова Евгения Вадимовна,463,7а,2,5qO5ekUi,Шаметова_ЕВ
143,Законнова Жанна Евгеньевна,442,11и,None,v6Y3G0G8,Законнова_ЖЕ
144,Перчихин Аркадий Тимофеевич,164,10т,3,v1Alnd5E,Перчихин_АТ
145,Бурдасова Ксения Игоревна,203,9а,3,W928QQSl,Бурдасова_КИ
146,Киссин Степан Иванович,251,7х,5,6J3Io5fg,Киссин_СИ
147,Вапилина Мария Егоровна,77,7д,2,lobP2hEm,Вапилина_МЕ
148,Сигутина Дарья Федоровна,458,7б,2,ktNG1YAB,Сигутина_ДФ
149,Сошьяков Альберт Фёдорович,17,7т,4,onPfbO9B,Сошьяков_АФ
150,Лугахина Клара Вадимовна,419,8в,4,sIECcos8,Лугахина_КВ
151,Логецкий Анатолий Виталиевич,372,11б,4,QEVgZA4D,Логецкий_АВ
152,Ковайкова Юлия Егоровна,75,10г,2,u5n3cR4e,Ковайкова_ЮЕ
153,Вермутский Валерий Петрович,447,9и,5,eAEGfa9T,Вермутский_ВП
154,Россомахов Олег Юриевич,56,8в,2,GB5GUwCY,Россомахов_ОЮ
155,Циплакова Екатерина Егоровна,471,9б,5,Ry0rAqG7,Циплакова_ЕЕ
156,Квятцева Алла Никитична,138,11в,2,6qa0XuAn,Квятцева_АН
157,Выхухолева Лариса Василевна,384,8б,5,b7ZayMUm,Выхухолева_ЛВ
158,Целохов Андрей Вадимович,433,8и,5,BLwJ7N44,Целохов_АВ
159,Бендин Иван Яковлевич,71,8и,4,P8WOmcIs,Бендин_ИЯ
160,Лазученков Василий Алексеевич,381,7х,2,VYZ9AKjg,Лазученков_ВА
161,Скоропухов Михаил Василиевич,69,10и,3,QwJj7PkZ,Скоропухов_МВ
162,Мухонкин Тарас Романович,126,9и,4,N8MTGbt1,Мухонкин_ТР
163,Камерцев Владимир Кириллович,303,7а,3,80yohdAh,Камерцев_ВК
164,Сандрыкина Анна Олеговна,324,10т,2,jpc6Y6Mz,Сандрыкина_АО
165,Недбайлов Алексей Денисович,15,7т,2,FyRZM87a,Недбайлов_АД
166,Серпков Ярослав Георгиевич,380,10б,4,l1Wepy1X,Серпков_ЯГ
167,Хатшуклов Аркадий Николаевич,42,11т,4,DJIzE8dy,Хатшуклов_АН
168,Литвалиева Алиса Егоровна,10,11и,3,76cB5701,Литвалиева_АЕ
169,Енесина Лиза Валерьевна,293,9б,5,pSveW3Jt,Енесина_ЛВ
170,Пикальков Эдуард Алексиевич,21,8д,5,zKcz0fFf,Пикальков_ЭА
171,Сачинский Валентин Кириллович,125,10т,2,Av1Gwm3b,Сачинский_ВК
172,Тарзанова Евгения Аркадьевна,96,9д,2,Yhc9KDSF,Тарзанова_ЕА
173,Лапундин Юрий Игоревич,267,8и,5,hWGL7SSX,Лапундин_ЮИ
174,Личева Лиза Михайловна,453,9б,3,IzdNqg3o,Личева_ЛМ
175,Смароверов Яков Борисович,131,11в,4,Haqy8ggN,Смароверов_ЯБ
176,Вереина Алла Василевна,295,10и,3,aZowl4J4,Вереина_АВ
177,Погиблева Дарья Леонидовна,283,9в,5,8oiFV1la,Погиблева_ДЛ
